node_name,execution_time,node_started_at,node_finished_at,node_status,dbt_pid,thread_name
ur_stg_2,145.14919781684875,2022-08-26T04:59:25.457893,2022-08-26T05:01:50.619192,success,42107,Thread-2
ur_stg_1,147.5634424686432,2022-08-26T04:59:25.456818,2022-08-26T05:01:53.029893,success,42107,Thread-1
ur_stg_3,147.8641974925995,2022-08-26T04:59:25.459738,2022-08-26T05:01:53.337289,success,42107,Thread-3
ur_stg2_2,6.009641408920288,2022-08-26T05:01:50.620787,2022-08-26T05:01:56.633455,success,42107,Thread-2
ur_stg2_1,5.805442571640015,2022-08-26T05:01:53.031307,2022-08-26T05:01:58.840518,success,42107,Thread-1
ur_stg2_3,5.961637735366821,2022-08-26T05:01:53.338999,2022-08-26T05:01:59.304362,success,42107,Thread-3
ur_stg_5,154.12388110160828,2022-08-26T04:59:25.461265,2022-08-26T05:01:59.598784,success,42107,Thread-5
ur_stg_4,155.4395627975464,2022-08-26T04:59:25.460418,2022-08-26T05:02:00.912684,success,42107,Thread-4
ur_stg2_5,4.242966175079346,2022-08-26T05:01:59.600207,2022-08-26T05:02:03.845645,success,42107,Thread-2
ur_stg2_4,4.04346489906311,2022-08-26T05:02:00.913528,2022-08-26T05:02:04.959048,success,42107,Thread-3
kdigo_uo,3.62246036529541,2022-08-26T05:02:04.960028,2022-08-26T05:02:08.585301,success,42107,Thread-1
